ENTITY_ID;NAME;TYPE;SITE;CANTON;MAX_WATER_VOLUME_M3_S;MAX_POWER_MW;START_OF_OPERATION_FIRST;START_OF_OPERATION_LAST;LATITUDE;LONGITUDE;STATUS;WATERBODIES;IMAGE_URL
100100;Val Giuf;L;Rueras;GR;0.43;1.42;1979;1979;46.67133138;8.75072906;im Normalbetrieb;Aua da Milez, Aua da Val Giuf;
100150;Val Strem;L;Sedrun;GR;1.0;2.0;1945;2009;46.67477489;8.76414486;stillgelegt;Strem;
100200;Sedrun 1;S;Sedrun;GR;30.0;147.0;1968;2011;46.67004463;8.76860311;im Normalbetrieb;Froda, Rein da Curnera, Rein da Nalps, Rein da Tuma, Stausee Curnera, Stausee Nalps;
100250;Sedrun 2;L;Sedrun;GR;3.0;0.7;1968;1968;46.67004463;8.76860311;im Normalbetrieb;Vorderrhein;
100300;Tavanasa (KVR);S;Tavanasa;GR;46.0;176.4;1962;1962;46.75103278;9.04692337;im Normalbetrieb;Rein da Medel, Rein da Nalps, Rein da Sumvitg, Vorderrhein;
100400;Russein;L;Somvix;GR;7.0;24.2;1947;2015;46.72027726;8.89856786;im Normalbetrieb;Russeinbach;
100500;Ferrera;L;Trun;GR;0.6;4.23;1999;1999;46.74350075;8.9864931;im Normalbetrieb;Ferrerabach;
100550;Trun;L;Trun;GR;0.28;0.6;1943;2005;46.74350075;8.9864931;im Normalbetrieb;Ferrerabach;
100575;Dardin (Casut);L;Dardin, Casut;GR;0.13;0.42;2008;2008;46.75737761;9.04999283;im Normalbetrieb;Quelle Plaun las Steilas, Quelle Tschegn dadens, Quellen Cuolms da Runs;
100625;Kraftwerk Tschar;L;Obersaxen, St. Joseph;GR;1.2;4.26;2017;-1;46.74824969;9.07184124;im Bau;Tscharbach;
100800;Ladral;L;Waltensburg;GR;0.9;5.6;1973;1973;46.77141199;9.11876936;im Normalbetrieb;Ual de Ladral;
100900;Ilanz 1 (Stufe Tavanasa);L;Ilanz;GR;50.0;33.8;1990;1990;46.77476031;9.19522501;im Normalbetrieb;Vorderrhein;
101000;Ilanz 2 (Stufe Panix (Pigniu));S;Ilanz;GR;8.0;48.5;1992;1992;46.77476031;9.19522501;im Normalbetrieb;Ranasca Nord und Süd, Speicher Panix (Pigniu), Ual da Schmuer, Ual da Siat;
101100;Seekraftwerk Zervreila;S;Vals, Staumauer Zervreila;GR;20.0;20.0;1958;1999;46.57894569;9.11931451;im Normalbetrieb;Ampervreila, Fruntbach, Guraletsch, Peilerbach, Stausee Zervreila, Valser Rhein;
101200;Safien Platz;S;Safien Platz;GR;23.0;88.0;1957;1997;46.67782116;9.31587271;im Normalbetrieb;Ampervreila, Peilerbach, Rabiusa, Valatschbach;
101300;Rothenbrunnen;S;Rothenbrunnen;GR;21.9;127.0;1958;2011;46.76589342;9.4182005;im Normalbetrieb;Carnusa, Rabiusa;
101400;Rabiusa-Realta;L;Rothenbrunnen;GR;6.0;26.0;1949;2004;46.76490877;9.41790242;im Normalbetrieb;Rabiusa;
101450;Lunschania;L;St. Martin, Lunschania;GR;0.4;0.94;1996;1996;46.66014671;9.18822941;im Normalbetrieb;Ronggtobelbach;
101500;Bargaus;L;Sagogn;GR;0.96;2.75;1963;1963;46.79314248;9.27364462;im Normalbetrieb;Bulignabach, Laaxerbach;
101550;Punt Gronda (Segnas);L;Flims;GR;0.4;3.3;2012;2012;46.83844864;9.26509303;im Normalbetrieb;Flembach;
101560;Punt Gronda (Platt Alva);L;Flims;GR;0.3;0.8;2012;-1;46.83844864;9.26509303;im Normalbetrieb;Platt Alva Bach;
101570;Punt Gronda (Tarschlims);L;Flims;GR;0.14;0.38;2013;-1;46.83844864;9.26509303;im Normalbetrieb;Quellen Tarschlims;
101600;Stenna (Flims) Flembach;L;Flims;GR;0.85;1.66;1904;1999;46.83375389;9.2828959;im Normalbetrieb;Flembach;
101700;Mulin;L;Trin Mulin;GR;1.4;1.5;1907;2004;46.83344521;9.34018109;im Normalbetrieb;Quelle bei Mulin, Val Turnigla;
101800;Pintrun;L;Trin;GR;5.0;6.2;1944;1944;46.814855;9.34883028;im Normalbetrieb;Flembach;
101900;Ferrera 1;U;Ausserferrera;GR;45.0;180.0;1962;2017;46.53291523;9.43419095;im Normalbetrieb;Am Bach, Averserrhein, Blesbach, Juppabach, Lago di Lei, Madriserrhein;
102000;Ferrera 2;L;Ausserferrera;GR;8.0;4.4;1963;2017;46.53291523;9.43419095;im Normalbetrieb;Averserrhein, Ferrera (Ausgleichsbecken);
102050;Nufenen;L;Nufenen;GR;0.12;0.3;2009;-1;46.54305046;9.24795022;im Normalbetrieb;Dorfbach, Hoflibach, Prascherbach, Seewelibach;
102070;Splügen (Tambobach);L;Splügen;GR;0.53;1.8;2012;-1;46.54591973;9.30973148;im Normalbetrieb;Tambobach;
102080;Stauanlage Sufers Dotieranlage;L;Sufers;GR;1.7;0.71;1990;2010;46.56751384;9.37962637;im Normalbetrieb;Hinterrhein, Sufnersee;
102100;Bärenburg;S;Andeer;GR;80.0;220.0;1962;2017;46.59018885;9.42142525;im Normalbetrieb;Averserrhein, Fundognbach, Hinterrhein, Stausee Sufers, Surettabach, Valtschielbach;
