ID;MANUFACTURER;MODEL;SEATS;VEHICLE_CLASS;PRICE;WEIGHT;NOMINAL_RANGE_KM;TOP_SPEED_KM_H;PEAK_POWER_KW;PEAK_POWER_HP;ACCELERATION_S;CONSUMPTION_KWH;CHARGING_TIME_STANDARD_H;CHARGING_TIME_ROTARY_CURRENT_H;BATTERY_CAPACITY_KWH;PRODUCTION;PRODUCTION_YEAR;IMAGE_URL
216266885312862;Renault;Twizy;1;Leichtfahrzeug;-1;-1.0;80.0;80.0;8.83;12.0;9.0;-1.0;3.5;;6.1;3300;2013;https://www.cdn.renault.com/content/dam/Renault/DE/personal-cars/twizy/m09e-twizy/m09e-phase1/00080465.JPG.ximg.l_full_m.smart.jpg
216266886718139;BMW;i3;4;Kleinwagen;-1;-1.0;190.0;150.0;125.0;170.0;7.2;12.9;6–8;3;18.8;25500;2016;http://static1.businessinsider.com/image/59a48efe6eac400d4a8b4747-1778/p90273590highres.jpg
216266886854995;BMW;i3 (seit Sommer 2016);4;Kleinwagen;-1;-1.0;300.0;150.0;125.0;170.0;7.2;12.9;6–8;3;28.0;25500;2016;http://st.automobilemag.com/uploads/sites/5/2016/11/2017-BMW-i3-with-i8-Supercar.jpg
216266886973380;Chery;eQ1 EV;4;Kleinwagen;-1;-1.0;200.0;100.0;41.9;57.0;-1.0;-1.0;8–10;1.50;22.0;-1;-1;https://i0.wp.com/www.carnewschina.com/wp-content/uploads/2017/03/chery-eq1-1.jpg?ssl=1
216266887086879;Renault;ZOE Z.E.;5;Kleinwagen;-1;-1.0;240.0;135.0;65.0;88.0;13.5;14.6;13.5;0.5;22.0;18656;2015;https://www.cdn.renault.com/content/dam/Renault/master/vehicules/zoe-b10e-ph1/recharge/zoe-lr/renault-zoe-b10-ph1-lr-charging-001.jpg.ximg.l_full_m.smart.jpg
216266887204147;Renault;ZOE Z.E. 40/R400;5;Kleinwagen;-1;-1.0;370.0;-1.0;66.0;89.8;-1.0;14.6;25;1.5;41.0;-1;-1;https://www.cdn.renault.com/content/dam/Renault/master/vehicules/zoe-b10e-ph1/decouverte/renault-zoe-b10-ph1-lr-overview-gallery-001.jpg.ximg.l_full_m.smart.jpg
216266887316768;Smart;Forfour Electric Drive;4;Kleinwagen;-1;-1.0;155.0;130.0;60.0;81.0;12.7;13.1;6;0.75;17.6;-1;-1;https://i.ytimg.com/vi/TmZcxlAuRhc/maxresdefault.jpg
216266887448718;Smart;Fortwo Cabrio Electric Drive;2;Kleinwagen;-1;-1.0;155.0;130.0;60.0;81.0;11.8;13.0;6;0.75;17.6;-1;-1;https://i.ytimg.com/vi/Q5smYgsJjyg/maxresdefault.jpg
216266887571501;Smart;Fortwo Coupé Electric Drive;2;Kleinwagen;-1;-1.0;160.0;130.0;60.0;81.0;11.5;12.9;6;0.75;17.6;-1;-1;http://images.car.bauercdn.com/pagefiles/70223/smartev_02.jpg
216266887701830;VW;e-up!;4;Kleinwagen;-1;-1.0;160.0;130.0;60.0;82.0;12.4;11.7;7;;18.7;11000;2014;http://p5.focus.de/img/fotos/crop4316035/2113882964-cfreecrop_21_9-w1280-h720-otx0_y67-q75-p5/e-up-lade.jpg
216266887839975;Zotye;ZhiDou D1 EV;2;Kleinwagen;-1;-1.0;110.0;80.0;12.0;16.3;-1.0;-1.0;6-7;;10.8;11201;2016;https://i1.wp.com/cleantechnica.com/files/2016/07/Zhidou-EV.jpg
